,dandiset_id,species,asset_type,series_type,rate,mean_diff,std_diff
113,000213,,Position,position,,0.008333333333332362,3.081169170568047e-13
114,000213,,SpatialSeries,position,,0.008333333333332362,3.081169170568047e-13
115,000213,,SpatialSeries,error_per_marker,,0.008333333333332362,3.081169170568047e-13
116,000213,,SpatialSeries,orientation,,0.008333333333332362,3.081169170568047e-13
117,000226,Mus musculus - House mouse,BehavioralTimeSeries,velocity_0,500.0,,
118,000226,,BehavioralTimeSeries,setpoint_0,500.0,,
119,000226,,BehavioralTimeSeries,position_0,500.0,,
120,000226,,BehavioralTimeSeries,phase_0,500.0,,
121,000226,,BehavioralTimeSeries,jerk_0,500.0,,
122,000226,,BehavioralTimeSeries,frequency_0,500.0,,
123,000226,,BehavioralTimeSeries,follicleCoordsY_0,500.0,,
124,000226,,BehavioralTimeSeries,follicleCoordsX_0,500.0,,
125,000226,,BehavioralTimeSeries,deltaKappa_0,500.0,,
126,000226,,BehavioralTimeSeries,dMi_0,500.0,,
127,000226,,BehavioralTimeSeries,contact_0,500.0,,
128,000226,,BehavioralTimeSeries,amplitude_0,500.0,,
129,000226,,BehavioralTimeSeries,acceleration_0,500.0,,
130,000226,,BehavioralTimeSeries,Mi_0,500.0,,
131,000230,Mus musculus - House mouse,BehavioralTimeSeries,head_yaw_speed,50.0,,
132,000230,,Position,animal_position,50.0,,
133,000230,,SpatialSeries,animal_position,50.0,,
134,000230,,SpatialSeries,head_direction,50.0,,
135,000231,Mus musculus - House mouse,BehavioralTimeSeries,angle,,0.005280561122244488,0.00626097776476752
136,000231,,SpatialSeries,marker_7,,0.005280561122244488,0.00626097776476752
137,000231,,SpatialSeries,marker_6,,0.005280561122244488,0.00626097776476752
138,000231,,SpatialSeries,marker_5,,0.005280561122244488,0.00626097776476752
139,000231,,SpatialSeries,marker_4,,0.005280561122244488,0.00626097776476752
140,000231,,SpatialSeries,marker_3,,0.005280561122244488,0.00626097776476752
141,000231,,SpatialSeries,marker_2,,0.005280561122244488,0.00626097776476752
142,000231,,SpatialSeries,marker_1,,0.005280561122244488,0.00626097776476752
143,000231,,SpatialSeries,marker_0,,0.005280561122244488,0.00626097776476752
144,000232,Mus musculus - House mouse,BehavioralTimeSeries,visStim_0,999.9999999999887,,
145,000232,,BehavioralTimeSeries,vTube_0,999.9999999999887,,
146,000232,,BehavioralTimeSeries,somStim_0,999.9999999999887,,
147,000232,,BehavioralTimeSeries,rLick_0,999.9999999999887,,
148,000232,,BehavioralTimeSeries,opto2_0,999.9999999999887,,
149,000232,,BehavioralTimeSeries,opto1_0,999.9999999999887,,
150,000232,,BehavioralTimeSeries,lLick_0,999.9999999999887,,
151,000232,,BehavioralTimeSeries,hTube_0,999.9999999999887,,
152,000251,Mus musculus - House mouse,SpatialSeries,TrackPosition,100.0,,
153,000301,Mus musculus - House mouse,Position,SpatialSeries,,0.0039999999999999975,1.7215466019988851e-15
154,000301,,SpatialSeries,SpatialSeries,,0.0039999999999999975,1.7215466019988851e-15
155,000363,Mus musculus - House mouse,BehavioralTimeSeries,Camera0_side_JawTracking,,0.0034000005440000874,7.046789232100091e-17
156,000410,Rattus norvegicus - Norway rat,Position,series_0,,0.03333298142305118,1.0284190485582206e-05
157,000410,,Position,series_1,,0.008000001639784697,3.4998087894727134e-06
158,000410,,Position,series_2,,0.03333300770165208,1.032526183969733e-05
159,000410,,Position,series_3,,0.008000008328883108,3.50256326696063e-06
160,000410,,Position,series_4,,0.033333012001786774,1.0307268632839656e-05
161,000410,,Position,series_5,,0.00799999303951531,3.5172950943491253e-06
162,000410,,Position,series_6,,0.033333004834895624,1.0332921914084992e-05
163,000410,,SpatialSeries,series_6,,0.033333004834895624,1.0332921914084992e-05
164,000410,,SpatialSeries,series_5,,0.00799999303951531,3.5172950943491253e-06
165,000410,,SpatialSeries,series_4,,0.033333012001786774,1.0307268632839656e-05
166,000410,,SpatialSeries,series_3,,0.008000008328883108,3.50256326696063e-06
167,000410,,SpatialSeries,series_2,,0.03333300770165208,1.032526183969733e-05
168,000410,,SpatialSeries,series_1,,0.008000001639784697,3.4998087894727134e-06
169,000410,,SpatialSeries,series_0,,0.03333298142305118,1.0284190485582206e-05
170,000447,Rattus norvegicus - Norway rat,Position,SpatialSeries,,0.03360601202404836,0.004788572310963953
171,000447,,SpatialSeries,SpatialSeries,,0.03360601202404836,0.004788572310963953
172,000458,Mus musculus - House mouse,BehavioralTimeSeries,running_speed,100.0,,
173,000473,Mus musculus - House mouse,BehavioralTimeSeries,blink,,0.020053973545046604,2.482398985849681e-14
174,000473,,BehavioralTimeSeries,face_motion_data,,0.020053973545046604,2.482398985849681e-14
175,000544,Mus musculus - House mouse,BehavioralTimeSeries,Camera0_side_JawTracking,,0.0034000005440000874,7.046789232100091e-17
176,000582,Rattus norvegicus - Norway rat,Position,SpatialSeriesLED1,,0.020000000000000035,4.171206072044648e-14
177,000582,,SpatialSeries,SpatialSeriesLED1,,0.020000000000000035,4.171206072044648e-14
178,000623,Homo sapiens - Human,BehavioralTimeSeries,TimeSeries,,7.254422018348625,8.9196278157981
179,000623,,SpatialSeries,SpatialSeries,500.0,,
180,000629,Rattus norvegicus - Norway rat,Position,series_0,,0.03361926097908097,1.4072273872840422e-07
181,000629,,Position,series_1,,0.03361880803155995,1.3362659536749713e-07
182,000629,,Position,series_2,,0.03361925572336078,1.3727044564188303e-07
183,000629,,Position,series_3,,0.033619173065216126,1.1666755699324013e-07
184,000629,,Position,series_4,,0.033619258590117246,1.378429995386354e-07
185,000629,,SpatialSeries,series_4,,0.033619258590117246,1.378429995386354e-07
186,000629,,SpatialSeries,series_3,,0.033619173065216126,1.1666755699324013e-07
187,000629,,SpatialSeries,series_2,,0.03361925572336078,1.3727044564188303e-07
188,000629,,SpatialSeries,series_1,,0.03361880803155995,1.3362659536749713e-07
189,000629,,SpatialSeries,series_0,,0.03361926097908097,1.4072273872840422e-07
190,000638,Mus musculus - House mouse,BehavioralTimeSeries,speed,25000.0,,
191,000638,,BehavioralTimeSeries,reward,25000.0,,
192,000638,,BehavioralTimeSeries,lick,25000.0,,
193,000638,,Position,position,25000.0,,
194,000638,,SpatialSeries,position,25000.0,,
195,000688,Macaca mulatta - Rhesus monkey,BehavioralTimeSeries,cursor_vel,,0.01,2.396788359046854e-16
196,000688,Macaca fascicularis - Cynomolgus monkeys,BehavioralTimeSeries,cursor_acc,,0.01,2.396788359046854e-16
197,000688,,Position,cursor_pos,,0.01,2.396788359046854e-16
198,000688,,SpatialSeries,cursor_pos,,0.01,2.396788359046854e-16
199,000897,Macaca mulatta - Rhesus monkey,SpatialSeries,hand_position,,0.062094370741443805,1.3377493825078022
200,000897,,SpatialSeries,eye_position,,0.06195299398785789,1.3377190915937758
201,000939,Mus musculus - House mouse,Position,position,,0.009999999999999563,2.2720879323672525e-13
202,000939,,SpatialSeries,position,,0.009999999999999563,2.2720879323672525e-13
203,000939,,SpatialSeries,head-direction,,0.009999999999999563,2.2720879323672525e-13
204,000941,Macaca mulatta - Rhesus monkey,BehavioralTimeSeries,APL,,0.02,4.4258096015066234e-16
205,000953,Macaca mulatta - Rhesus monkey,BehavioralTimeSeries,index,,0.02,4.426173944789027e-16
206,000978,Rattus norvegicus - Norway rat,Position,SpatialSeries,,0.03533119572478291,0.008061730486480321
207,000978,,SpatialSeries,SpatialSeries,,0.03533119572478291,0.008061730486480321
208,000987,Mus musculus - House mouse,Position,x,,0.008332965931863227,2.3696918143795582e-05
209,000987,,Position,y,,0.008332965931863227,2.3696918143795582e-05
210,000987,,Position,z,,0.008332965931863227,2.3696918143795582e-05
211,000987,,SpatialSeries,z,,0.008332965931863227,2.3696918143795582e-05
212,000987,,SpatialSeries,y,,0.008332965931863227,2.3696918143795582e-05
213,000987,,SpatialSeries,x,,0.008332965931863227,2.3696918143795582e-05
214,000987,,SpatialSeries,rz,,0.008332965931863227,2.3696918143795582e-05
215,000987,,SpatialSeries,ry,,0.008332965931863227,2.3696918143795582e-05
216,000987,,SpatialSeries,rx,,0.008332965931863227,2.3696918143795582e-05
217,001209,Macaca mulatta - Rhesus monkey,BehavioralTimeSeries,APL,,0.02,4.4258096015066234e-16
218,001275,Macaca mulatta - Rhesus monkey,SpatialSeries,hand_position,,3.3893984749498878,75.59089959232018
219,001275,,SpatialSeries,eye_position,,3.389329374749643,33.67243064622243
220,001280,Rattus norvegicus - Norway rat,Position,led_0_series_0,,0.022412130015646528,1.4240468248965243e-07
221,001280,,Position,led_0_series_1,,0.03112839457983961,1.6177641793126398e-07
222,001280,,Position,led_0_series_2,,0.022412112815107754,1.3753627425743585e-07
223,001280,,Position,led_0_series_3,,0.031101479559002037,1.1504987352120328e-07
224,001280,,Position,led_0_series_4,,0.02241211854862068,1.4184410468061148e-07
225,001280,,Position,led_0_series_5,,0.03112810312626596,1.4824978012415374e-07
226,001280,,Position,led_0_series_6,,0.022412117593035193,1.3733362652887067e-07
227,001280,,Position,led_1_series_0,,0.022412130015646528,1.4240468248965243e-07
228,001280,,Position,led_1_series_1,,0.03112839457983961,1.6177641793126398e-07
229,001280,,Position,led_1_series_2,,0.022412112815107754,1.3753627425743585e-07
230,001280,,Position,led_1_series_3,,0.031101479559002037,1.1504987352120328e-07
231,001280,,Position,led_1_series_4,,0.02241211854862068,1.4184410468061148e-07
232,001280,,Position,led_1_series_5,,0.03112810312626596,1.4824978012415374e-07
233,001280,,Position,led_1_series_6,,0.022412117593035193,1.3733362652887067e-07
234,001280,,SpatialSeries,led_1_series_6,,0.022412117593035193,1.3733362652887067e-07
235,001280,,SpatialSeries,led_1_series_5,,0.03112810312626596,1.4824978012415374e-07
236,001280,,SpatialSeries,led_1_series_4,,0.02241211854862068,1.4184410468061148e-07
237,001280,,SpatialSeries,led_1_series_3,,0.031101479559002037,1.1504987352120328e-07
238,001280,,SpatialSeries,led_1_series_2,,0.022412112815107754,1.3753627425743585e-07
239,001280,,SpatialSeries,led_1_series_1,,0.03112839457983961,1.6177641793126398e-07
240,001280,,SpatialSeries,led_1_series_0,,0.022412130015646528,1.4240468248965243e-07
241,001280,,SpatialSeries,led_0_series_6,,0.022412117593035193,1.3733362652887067e-07
242,001280,,SpatialSeries,led_0_series_5,,0.03112810312626596,1.4824978012415374e-07
243,001280,,SpatialSeries,led_0_series_4,,0.02241211854862068,1.4184410468061148e-07
244,001280,,SpatialSeries,led_0_series_3,,0.031101479559002037,1.1504987352120328e-07
245,001280,,SpatialSeries,led_0_series_2,,0.022412112815107754,1.3753627425743585e-07
246,001280,,SpatialSeries,led_0_series_1,,0.03112839457983961,1.6177641793126398e-07
247,001280,,SpatialSeries,led_0_series_0,,0.022412130015646528,1.4240468248965243e-07
248,001371,Mus musculus - House mouse,Position,position,,0.00994475617902472,0.0010588856992488997
249,001371,,SpatialSeries,view_angle,,0.00994475617902472,0.0010588856992488997
250,001371,,SpatialSeries,position,,0.00994475617902472,0.0010588856992488997
251,001530,Mus musculus - House mouse,BehavioralTimeSeries,C2Whisker_Angle,,0.00999995390781563,1.6737630433735081e-06
252,001533,Mus musculus - House mouse,SpatialSeries,WheelPositionSeries,,0.03253335288580407,0.2465114740180906
253,001539,Rattus norvegicus - Norway rat,Position,SpatialSeries,,0.03360460921843703,0.004826431037491482
254,001539,,SpatialSeries,SpatialSeries,,0.03360460921843703,0.004826431037491482
